Shanghai,DOW,Y
626.79,1270.449951,8.65
604.15,1291.910034,8.65
572.73,1292.48999,8.65
540.24,1308.27002,8.64
582.43,1309.47998,8.64
566.07,1305.349976,8.64
560.8,1315.910034,8.64
579.72,1314.76001,8.63
598.5,1316.140015,8.63
599.63,1310.400024,8.63
592.56,1305.800049,8.63
605.77,1291.050049,8.62
619.68,1273.369995,8.62
590.92,1279.969971,8.62
585.8,1263.560059,8.62
581.7,1268.949951,8.61
595.38,1267.52002,8.61
591.18,1266.199951,8.61
582.16,1280.51001,8.61
590.39,1295.349976,8.6
592.58,1306.800049,8.6
592.05,1303.349976,8.6
583.32,1297.040039,8.6
590.53,1300.670044,8.59
594.22,1303,8.59
587.65,1306.099976,8.57
590.45,1309.890015,8.58
586.76,1310.890015,8.58
577.45,1311.420044,8.58
573.36,1308.609985,8.58
544.26,1311.880005,8.57
556.26,1310.890015,8.57
545.05,1307.560059,8.57
546.58,1305.569946,8.56
548.75,1303.459961,8.56
542.96,1308.609985,8.56
529.76,1313.810059,8.56
533.55,1327.01001,8.56
523,1319.339966,8.56
514.54,1328.969971,8.56
492.03,1317.849976,8.55
490.75,1306.73999,8.55
496.11,1291.579956,8.55
506.36,1297.160034,8.55
527.85,1292.22998,8.55
502.43,1269.579956,8.55
498.1,1282.5,8.55
505.18,1276.969971,8.55
500.39,1280.76001,8.55
492.33,1269.339966,8.55
472.1,1278.300049,8.55
469.95,1277.75,8.55
468.2,1280.099976,8.55
469.29,1284.969971,8.55
458.37,1290.97998,8.55
438.58,1283.709961,8.55
443.61,1282.709961,8.55
431.71,1283.040039,8.55
425.98,1295.839966,8.55
437.76,1300.540039,8.55
428.15,1300.839966,8.55
429.21,1300.660034,8.55
437.62,1293.219971,8.55
431.8,1294.439941,8.55
413.93,1298.099976,8.55
398.96,1298.52002,8.55
400.48,1295.719971,8.55
393.87,1288.349976,8.55
380.9,1292.219971,8.55
363.73,1301.569946,8.55
375.38,1311.689941,8.55
388.75,1315.949951,8.55
371.19,1318.699951,8.54
339.81,1310.900024,8.54
333.92,1303.459961,8.54
445.64,1303.219971,8.54
432.61,1304.800049,8.54
522.98,1309.069946,8.54
562.77,1301.449951,8.54
683.04,1308.27002,8.54
711.8,1306.569946,8.54
621.5,1313.030029,8.53
739.56,1311.810059,8.53
689.31,1301.810059,8.53
689.66,1299.73999,8.53
665.88,1297.119995,8.53
693.02,1304.680054,8.53
725.04,1322.530029,8.53
748.56,1317.540039,8.53
713.85,1332.589966,8.53
681.8,1339.599976,8.53
714.61,1345.329956,8.53
705.71,1346.72998,8.53
722.23,1338.930054,8.53
707.41,1333.439941,8.52
710.68,1334.25,8.52
756.2,1329.089966,8.52
785.33,1332.449951,8.52
790.19,1317.26001,8.51
830.18,1308.119995,8.51
940.62,1311.72998,8.51
1004.92,1315.329956,8.5
931.57,1327.589966,8.5
972.84,1318.689941,8.5
