Shanghai,P Change,Dow,P Change,Y,
1093.46,-0.011248697,1177.26001,0.009882171,5.48,0
1126.62,0.029433172,1178.319946,-0.000900341,5.48,0
1187.02,0.050883726,1182.930054,-0.003912442,5.46,-0.003663004
1178.3,-0.007400492,1183.390015,-0.000388832,5.47,0.001828154
1171.71,-0.005624259,1177.670044,0.004833547,5.47,0
1171.85,0.000119469,1161.540039,0.01369654,5.47,0
1166.7,-0.00441416,1154.949951,0.005673578,5.47,0
1169.57,0.002453893,1157.609985,-0.00230316,5.47,0
1168.43,-0.000975668,1153.719971,0.003360384,5.44,-0.005514706
1171.94,0.002995034,1153.160034,0.000485332,5.45,0.001834862
1169.9,-0.001743739,1154.290039,-0.00097992,5.45,0
1158.17,-0.010128047,1150.050049,0.003673245,5.44,-0.001838235
1151.06,-0.006176915,1146.880005,0.00275644,5.44,0
1160.23,0.007903605,1165.209961,-0.015982453,5.43,-0.001841621
1164.67,0.003812239,1165.369995,-0.000137343,5.43,0
1169.51,0.004138485,1180.22998,-0.012751302,5.43,0
1191.19,0.018200287,1172.060059,0.006922313,5.43,0
1194.18,0.00250381,1174.160034,-0.001791696,5.43,0
1187.48,-0.0056422,1164.920044,0.007869447,5.43,0
1189.16,0.001412762,1158.709961,0.005330909,5.43,0
1201.01,0.009866696,1168.209961,-0.008198773,5.45,0.003669725
1206.46,0.004517348,1170.359985,-0.001840443,5.45,0
1185.5,-0.017680304,1173.550049,-0.002725712,5.46,0.001831502
1178.53,-0.005914147,1179.449951,-0.005027397,5.46,0
1188.62,0.008488836,1178.98999,0.000389979,5.46,0
1136.33,-0.046016562,1180.640015,-0.001399524,5.46,0
1114.05,-0.019999102,1171.689941,0.007580697,5.45,-0.001834862
1107.69,-0.005741679,1160.359985,0.009669756,5.45,0
1124.64,0.01507149,1162.689941,-0.00200796,5.45,0
1125.56,0.000817371,1151.099976,0.009968234,5.45,0
1098.82,-0.024335196,1152.910034,-0.001572459,5.44,-0.001838235
1082.39,-0.015179372,1153.589966,-0.000589753,5.42,-0.003690037
1035.66,-0.045120986,1154.469971,-0.00076284,5.42,0
1014.57,-0.020787131,1171.689941,-0.01491591,5.42,0
1142.02,0.111600497,1185.51001,-0.011794988,5.42,0
1149.33,0.006360227,1193.939941,-0.007110805,5.42,0
1105.95,-0.039224196,1191.969971,0.001649974,5.42,0
1087.12,-0.017320995,1191.560059,0.000343895,5.42,0
1057.4,-0.028106677,1187.469971,0.003432549,5.41,-0.001848429
1052.07,-0.005066203,1176.969971,0.008842329,5.44,0.005514706
1031.55,-0.019892395,1169.160034,0.00663563,5.48,0.00729927
